,title,year,game_type,rate,descr,votes
0,Wiedzmin 3: Dziki Gon Krew i wino,2016 Video Game,"Action, Adventure, Drama",9.8,Geralt is in the southern province of Toussaint where a monstrous serial killer is targeting knights with a dark past. Geralt and his old vampire friend investigate the killer's motives.,6810
1,Red Dead Redemption II,2018 Video Game,"Action, Adventure, Crime",9.7,"Amidst the decline of the Wild West at the turn of the 20th century, outlaw Arthur Morgan and his gang struggle to cope with the loss of their way of life.",28686
2,Wiedzmin 3: Dziki Gon,2015 Video Game,"banned
|

Action, Adventure, Drama",9.7,A monster hunter for hire embarks on an epic journey to find his former apprentice before The Wild Hunt can capture her and bring about the destruction of the world.,23029
3,The Last of Us,2013 Video Game,"Action, Adventure, Drama",9.7,"In a hostile, post-pandemic world, Joel and Ellie, brought together by desperate circumstances, must rely on each other to survive a brutal journey across what remains of the United States.",55702
4,Mass Effect: Legendary Edition,2021 Video Game,Sci-Fi,9.7,A compilation of the first three Mass Effect games.,706
5,God of War,2018 Video Game,"Action, Adventure, Drama",9.6,"After wiping out the gods of Mount Olympus, Kratos moves on to the frigid lands of Scandinavia, where he and his son must embark on an odyssey across a dangerous world of gods and monsters.",21310
6,Perusona 5: Za roiyaru,2019 Video Game,"Action, Adventure, Fantasy",9.6,A group of high school students create a vigilante group to expose the crimes of corrupt adults but soon find themselves in the midst of a worldwide conspiracy and targeted by powerful individuals who would do anything to silence them.,798
7,Zeruda no densetsu: Toki no okarina,1998 Video Game,"Action, Adventure, Fantasy",9.6,A young Kokiri boy discovers that his destiny is to free the Seven Sages and save the land of Hyrule from the treacherous sorcerer Ganondorf.,8998
8,Metal Gear Solid,1998 Video Game,"Action, Adventure, Drama",9.6,"A crack government anti-terrorist squad takes over an obscure Alaskan nuclear disposal facility. Solid Snake is up for the task to infiltrate the facility, rescue the two hostages and thwart the terrorists' plans.",11329
9,Wiedzmin 3: Dziki Gon - Serca z kamienia,2015 Video Game,"Action, Adventure, Drama",9.5,"Geralt is forced by a seemingly harmless merchant with sinister powers to complete three difficult tasks for a bored immortal, once a troubled nobleman who made a deal with the devil.",5679
10,Uncharted 4: A Thief's End,2016 Video Game,"Action, Adventure, Drama",9.5,"Thrown back into the dangerous underworld he'd tried to leave behind, Nathan Drake must decide what he's willing to sacrifice to save the ones he loves.",24939
11,Grand Theft Auto V,2013 Video Game,"Action, Crime, Drama",9.5,Three very different criminals team up for a series of heists in the corrupt city of Los Santos.,55516
12,Mass Effect 2,2010 Video Game,"Action, Adventure, Sci-Fi",9.5,"After being revived from death and having to join a pro-human organization without a choice, Commander Shepard must assemble a team, battle a new threat, and make tough choices in order to save the galaxy from total annihilation once more.",19083
13,Half-Life: Alyx,2020 Video Game,"Action, Adventure, Horror",9.5,"A VR game of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Play as Alyx Vance, humanity's only chance for survival.",556
14,Metal Gear Solid 3: Subsistence,2005 Video Game,"Action, Adventure, Drama",9.5,"Enhanced version of Metal Gear Solid 3: Snake Eater (2004) with many added features; such as the free range camera, new camouflage outfits, bonus levels and a theater mode.",2431
15,Metal Gear Solid 3: Snake Eater,2004 Video Game,"Action, Adventure, Drama",9.5,"In 1964, a U.S. government operative codenamed ""Snake"" must infiltrate mountainous Soviet territory to rescue a scientist building a weapon of terrible power.",10096
16,Star Wars: Knights of the Old Republic,2003 Video Game,"Action, Adventure, Fantasy",9.5,"A republic soldier, training to become a Jedi Knight, is given the task of halting the conquest of Darth Malak by discovering the location of a weapon known as the Star Forge.",8187
17,Chrono Trigger,1995 Video Game,"Action, Adventure, Fantasy",9.5,"Crono, a young boy, is thrust to adventure by destiny to destroy an oncoming threat that will destroy the world in 1999.",2853
18,Fainaru fantajî VII,1997 Video Game,"Action, Adventure, Fantasy",9.5,A former soldier from an evil company joins a mercenary clan to fight the company he once served.,9450
19,Uncharted: The Nathan Drake Collection,2015 Video Game,"Action, Adventure",9.4,"A remastered collection of Uncharted: Drake's Fortune (2007), Uncharted 2: Among Thieves (2009), and Uncharted 3: Drake's Deception (2011) for PlayStation 4.",4652
20,Bloodborne: The Old Hunters,2015 Video Game,"Action, Adventure, Fantasy",9.4,"In this DLC for Bloodborne, the player-Hunter is transported to the sinister Hunter's Nightmare, a demented place where hunters who become drunk with blood are sent to.",1207
21,Zeruda no densetsu: Buresu obu za wairudo,2017 Video Game,"Action, Adventure, Fantasy",9.4,"After a century of hibernation, Link reawakens to once again save a ruined Hyrule from a great evil.",5957
22,The Elder Scrolls V: Skyrim,2011 Video Game,"Action, Adventure, Fantasy",9.4,"After escaping execution, the last living Dragonborn must grow in strength and power to defeat the dragons that have once again begun to plague the land of Skyrim.",27830
23,Portal 2,2011 Video Game,"Action, Adventure, Comedy",9.4,"Many years after ""Portal,"" Chell reawakens at Aperture Science and tries to stop GLADoS once again with the help of Wheatley, who has his own plans for the historical facility.",14586
24,Halo 2: Anniversary,2014 Video Game,"Action, Adventure, Sci-Fi",9.4,Add a Plot,11
25,Batman: Arkham City,2011 Video Game,"Action, Adventure, Crime",9.4,"When part of Gotham is turned into a private reserve for criminals known as Arkham City, all hell is sure to break loose, and the Dark Knight is the only one who can stop it.",28703
26,Devil May Cry 5: Special Edition,2020 Video Game,"Action, Adventure, Fantasy",9.4,Add a Plot,11
27,Red Dead Redemption,2010 Video Game,"banned
|

Action, Adventure, Crime",9.4,A former outlaw is forced by the federal government to hunt down the members of his old gang.,25112
28,Uncharted 2: Among Thieves,2009 Video Game,"Action, Adventure, Fantasy",9.4,"After being tracked down by Harry Flynn, Nathan Drake goes on a quest for Marco Polo's lost fleet. However when things take an unexpected turn for the worst, Drake must rely on those closest to him in order to find the Cintomani Stone.",22950
29,Metal Gear Solid 4: Guns of the Patriots,2008 Video Game,"Action, Adventure, Drama",9.4,"When the nations of the world rely upon private military companies to fight their battles for them, renegade Liquid Ocelot emerges as the head of a potent coalition of mercenary powers. Solid Snake returns to save the world once again.",10345
30,Grand Theft Auto: San Andreas,2004 Video Game,"Action, Crime",9.4,"A family tragedy prompts gangster Carl ""CJ"" Johnson to return home, only to find it overrun by crime and corruption, which he must regain control of the streets before it gets even worse.",37668
31,Half-Life 2,2004 Video Game,"Action, Adventure, Horror",9.4,"Dr. Freeman is taken out of stasis by his ""employer"" to help rid the planet of invading aliens forces known as the Combine that entered through the portals he helped create.",15432
32,Silent Hill 2,2001 Video Game,"Drama, Horror, Mystery",9.4,"After receiving a letter from his late wife, from Silent Hill, James Sunderland makes his way to the town in an attempt to find her.",6219
33,Forgotten Realms: Baldur's Gate II - Shadows of Amn,2000 Video Game,"Action, Adventure, Fantasy",9.4,"Jon Irenicus, a sadistic secretive powerful mage bent on revenge, captures Gorion's ward and his/her party for a diabolical experiment.",2040
34,Planescape: Torment,1999 Video Game,"Adventure, Drama, Fantasy",9.4,"In the city of Sigil, the only place from which all realities of the Planescape universe can be reached, an immortal amnesiac, the Nameless One, must uncover his past, the mystery of his immortality as well as who's trying to kill him.",1989
35,Fallout 2: A Post-Nuclear Role-Playing Game,1998 Video Game,"Action, Adventure, Sci-Fi",9.4,"In a post-nuclear future, the descendant of an ancient exiled hero must leave his tribe in search of the Garden of Eden Creation Kit, the last chance of survival for his people.",3747
36,Kirby's Extra Epic Yarn,2019 Video Game,Adventure,9.3,Add a Plot,71
37,Ghost of Tsushima,2020 Video Game,"Action, Adventure, Drama",9.3,"Set in 1274 on the Tsushima Island, the last samurai, Jin Sakai, must master a new fighting style, the way of the Ghost, to defeat the Mongol forces and fight for the freedom and independence of Japan.",5962
38,Kingdom Hearts HD 1.5 + 2.5 Remix,2017 Video Game,"Adventure, Family, Fantasy",9.3,A re-release of Kingdom Hearts HD 1.5 Remix and Kingdom Hearts HD 2.5 Remix on the Playstation 4.,590
39,Batman: Return to Arkham,2016 Video Game,"Action, Adventure, Crime",9.3,Batman: Return to Arkham thrusts players back into the environments of Arkham Asylum and Arkham City with a remastered graphics engine and all DLC.,1415
40,Persona 5,2016 Video Game,"Action, Adventure, Fantasy",9.3,A group of high school students create a vigilante group to expose the crimes of corrupt adults but soon find themselves in the midst of a worldwide conspiracy and targeted by powerful individuals who would do anything to silence them.,2333
41,Kingdom Hearts HD 2.5 Remix,2014 Video Game,"Action, Adventure, Family",9.3,"After the events of Kingdom Hearts HD 1.5 Remix (2013), a boy named Roxas wakes up in Twilight Town trying to make it through his last days of summer vacation when he finds out that his dreams are actually Sora's memories and he must return them to him.",791
42,Super Mario All-Stars + Super Mario World,1994 Video Game,"Action, Adventure, Family",9.3,A compilation game that includes both Super Mario All-Stars and Super Mario World on one game.,329
43,P.T.,2014 Video Game,"Horror, Mystery",9.3,"The player must navigate a series of continuously looping hallways, solving cryptic puzzles, all while being hunted by a hostile apparition named Lisa.",1516
44,Persona 4 Golden,2012 Video Game,"Action, Adventure, Fantasy",9.3,"A group of high school students discover a hidden TV world called 'The Midnight Channel', an alternate reality infested with shadows that is being used to commit murder. After awakening to their Personas, the group decides to investigate.",901
45,It Takes Two,2021 Video Game,"Adventure, Comedy, Drama",9.3,"Embark on the craziest journey of your life in It Takes Two, a genre-bending platform adventure created purely for co-op. Invite a friend to join for free with Friend's Pass and work ...                See full summary »",886
46,Omori,2020 Video Game,"Adventure, Drama, Fantasy",9.3,"A young man traverses various mundane, quirky, humorous, mysterious and horrific lands with his friends in search of a missing person while confronting his traumatic past and fears.",119
47,Persona 4,2008 Video Game,"Action, Adventure, Fantasy",9.3,"A high school student forms a group that explores a hidden world accessible through TV sets to find a connection between the ""realm of shadows"" and the mysterious murders in their town.",958
48,Kingdom Hearts II: Final Mix+,2007 Video Game,"Adventure, Fantasy",9.3,Sora and friends must set out on another adventure to find his long lost friends and stop Organization XIII.,1205
49,Wanda to kyozô,2005 Video Game,"Action, Adventure, Drama",9.3,A young man brings a deceased woman to a forbidden land inhabited by colossal beings said to house the power to revive the dead.,3830
